Date,Invoice No,Party Name,Item Code,Item Name,Quantity,Rate,Amount
2026-05-07,INV-2400,Basavaraj Agri Centre,GYP-05,Gypsum 5kg,10,140,1400
2026-07-05,INV-2401,Shetty Farms,SPR-16,Sprayer 16L,5,2250,11250
2026-05-16,INV-2402,Krishna Traders Pvt Ltd,DAP-50,DAP 50kg,20,1420,28400
2026-05-25,INV-2403,Shetty Farms,HDP-10,HDPE Pipe 1in 10m,10,870,8700
2026-08-11,INV-2404,Basavaraj Agri Centre,NEM-10,Neem Cake 10kg,40,380,15200
2026-08-24,INV-2405,Ramu Stores.,TRP-12,Tarpaulin 12x15,25,1150,28750
2026-08-02,INV-2406,Ramu Stores,DAP-50,DAP 50kg,40,1420,56800
2026-06-08,INV-2407,Krishna Traders Pvt Ltd,GYP-05,Gypsum 5kg,40,140,5600
2026-05-23,INV-2408,Shetty Farms,DAP-50,DAP 50kg,25,1420,35500
2026-07-13,INV-2409,Krishna Traders Pvt Ltd,DAP-50,DAP 50kg,20,1420,28400
2026-08-04,INV-2410,Patil Nursery,SPR-16,Sprayer 16L,40,2250,90000
2026-05-27,INV-2411,Krishna Traders Pvt Ltd,PDY-05,Paddy Seed 5kg,20,640,12800
2026-06-14,INV-2412,Patil Nursery,GYP-05,Gypsum 5kg,40,140,5600
2026-06-08,INV-2413,Ramu Stores.,NEM-10,Neem Cake 10kg,5,380,1900
2026-05-08,INV-2414,Krishna Traders Pvt Ltd,NEM-10,Neem Cake 10kg,20,380,7600
2026-07-19,INV-2415,Shetty Farms,DAP-50,DAP 50kg,5,1420,7100
2026-06-26,INV-2416,M/s Ramu Stores,HDP-10,HDPE Pipe 1in 10m,10,870,8700
2026-07-04,INV-2417,Ramu Stores,GYP-05,Gypsum 5kg,10,140,1400
2026-06-25,INV-2418,Shetty Farms,TRP-12,Tarpaulin 12x15,20,1150,23000
2026-07-03,INV-2419,M/s Ramu Stores,POT-50,Potash 50kg,20,980,19600
2026-07-07,INV-2420,Ramu Stores,CTF-50,Cattle Feed 50kg,5,1180,5900
2026-06-25,INV-2421,Ramu Stores,POT-50,Potash 50kg,5,980,4900
2026-08-23,INV-2422,M/s Ramu Stores,PDY-05,Paddy Seed 5kg,5,640,3200
2026-06-30,INV-2423,Shetty Farms,GYP-05,Gypsum 5kg,40,140,5600
2026-08-25,INV-2424,Krishna Traders Pvt Ltd,SPR-16,Sprayer 16L,20,2250,45000
2026-07-02,INV-2425,RAMU STORES,TRP-12,Tarpaulin 12x15,5,1150,5750
2026-06-18,INV-2426,Basavaraj Agri Centre,DAP-50,DAP 50kg,25,1420,35500
2026-08-06,INV-2427,Ramu Stores,DAP-50,DAP 50kg,40,1420,56800
2026-07-20,INV-2428,Ramu Stores.,CTF-50,Cattle Feed 50kg,5,1180,5900
2026-06-18,INV-2429,Patil Nursery,DAP-50,DAP 50kg,10,1420,14200
2026-05-22,INV-2430,Shetty Farms,HDP-10,HDPE Pipe 1in 10m,40,870,34800
2026-07-25,INV-2431,Patil Nursery,NEM-10,Neem Cake 10kg,20,380,7600
2026-06-07,INV-2432,Shetty Farms,SPR-16,Sprayer 16L,25,2250,56250
2026-07-25,INV-2433,Shetty Farms,PDY-05,Paddy Seed 5kg,10,640,6400
2026-07-15,INV-2434,Ramu Stores.,CTF-50,Cattle Feed 50kg,40,1180,47200
2026-07-12,INV-2435,M/s Ramu Stores,SPR-16,Sprayer 16L,25,2250,56250
2026-05-10,INV-2436,Basavaraj Agri Centre,URE-50,Urea 50kg,25,320,8000
2026-07-05,INV-2437,M/s Ramu Stores,URE-50,Urea 50kg,25,320,8000
2026-07-26,INV-2438,Basavaraj Agri Centre,TRP-12,Tarpaulin 12x15,40,1150,46000
2026-06-10,INV-2439,Ramu Stores.,URE-50,Urea 50kg,20,320,6400
2026-06-11,INV-2440,Ramu Stores,NEM-10,Neem Cake 10kg,40,380,15200
2026-06-19,INV-2441,Ramu Stores,DAP-50,DAP 50kg,5,1420,7100
2026-05-16,INV-2442,Patil Nursery,PDY-05,Paddy Seed 5kg,10,640,6400
2026-06-13,INV-2443,Ramu Stores.,PDY-05,Paddy Seed 5kg,5,640,3200
2026-08-03,INV-2444,Krishna Traders Pvt Ltd,PDY-05,Paddy Seed 5kg,40,640,25600
2026-05-18,INV-2445,Patil Nursery,GYP-05,Gypsum 5kg,40,140,5600
2026-07-18,INV-2446,Patil Nursery,TRP-12,Tarpaulin 12x15,20,1150,23000
2026-07-07,INV-2447,Shetty Farms,POT-50,Potash 50kg,40,980,39200
2026-08-21,INV-2448,RAMU STORES,NEM-10,Neem Cake 10kg,20,380,7600
2026-08-05,INV-2449,M/s Ramu Stores,CTF-50,Cattle Feed 50kg,5,1180,5900
2026-06-01,INV-2450,Patil Nursery,GYP-05,Gypsum 5kg,40,140,5600
2026-05-10,INV-2451,M/s Ramu Stores,PDY-05,Paddy Seed 5kg,10,640,6400
2026-07-26,INV-2452,RAMU STORES,HDP-10,HDPE Pipe 1in 10m,10,870,8700
2026-06-11,INV-2453,RAMU STORES,NEM-10,Neem Cake 10kg,25,380,9500
2026-07-14,INV-2454,Krishna Traders Pvt Ltd,GYP-05,Gypsum 5kg,40,140,5600
2026-05-25,INV-2455,Shetty Farms,POT-50,Potash 50kg,25,980,24500
2026-05-20,INV-2456,Shetty Farms,DAP-50,DAP 50kg,20,1420,28400
2026-05-05,INV-2457,Basavaraj Agri Centre,URE-50,Urea 50kg,40,320,12800
2026-08-30,INV-2458,Ramu Stores,DAP-50,DAP 50kg,10,1420,14200
2026-05-16,INV-2459,Krishna Traders Pvt Ltd,URE-50,Urea 50kg,25,320,8000
