Date,Supplier,Bill No,Item,Qty,Rate,Amount
2025-12-09,Deccan Seals & Spares,P-1200,32210 Taper Roller Bearing (BRG-32210),200,700,140000
2026-04-11,Deccan Seals & Spares,P-1201,V-Belt C-90 (BLT-C90),100,700,70000
2026-04-18,Bharat Bearing Agencies,P-1202,Sprocket 08B-1 Z18 (SPR-08B18),50,450,22500
2025-11-15,Bharat Bearing Agencies,P-1203,Oil Seal 50x72x10 (SEL-5072),100,92,9200
2025-12-06,Shree Transmission Supplies,P-1204,Ball Screw 1605 500mm (TRN-BS1605),150,3100,465000
2026-06-28,Bharat Bearing Agencies,P-1205,SN 510 Plummer Block (HSG-SN510),50,2400,120000
2026-06-10,Bharat Bearing Agencies,P-1206,6308 ZZ Ball Bearing (BRG-6308),25,560,14000
2026-08-21,Deccan Seals & Spares,P-1207,Bearing Grease 500g (CON-GRS500),100,195,19500
2026-09-05,Deccan Seals & Spares,P-1208,6206 ZZ Ball Bearing (BRG-6206),25,222,5550
2026-04-01,Shree Transmission Supplies,P-1209,Sprocket 08B-1 Z18 (SPR-08B18),50,450,22500
2026-08-21,Bharat Bearing Agencies,P-1210,UCF 206 Flange Unit (HSG-UCF206),200,590,118000
2026-09-07,Shree Transmission Supplies,P-1211,6204 ZZ Ball Bearing (BRG-6204),25,132,3300
2025-12-16,Deccan Seals & Spares,P-1212,6205 2RS Ball Bearing (BRG-6205),25,168,4200
2026-01-22,Bharat Bearing Agencies,P-1213,SN 510 Plummer Block (HSG-SN510),200,2400,480000
2025-11-28,Bharat Bearing Agencies,P-1214,Chain 08B-1 10ft (CHN-08B1),150,860,129000
2026-01-20,Shree Transmission Supplies,P-1215,Ball Screw 1605 500mm (TRN-BS1605),150,3100,465000
2025-12-22,Shree Transmission Supplies,P-1216,6206 ZZ Ball Bearing (BRG-6206),100,222,22200
2026-03-01,Bharat Bearing Agencies,P-1217,Flexible Coupling L-095 (CPL-L095),200,980,196000
2026-01-05,Deccan Seals & Spares,P-1218,30205 Taper Roller Bearing (BRG-30205),150,372,55800
2026-06-13,Bharat Bearing Agencies,P-1219,22210 Spherical Bearing (BRG-22210),50,1790,89500
2026-01-10,Bharat Bearing Agencies,P-1220,V-Belt C-90 (BLT-C90),200,700,140000
2026-07-30,Shree Transmission Supplies,P-1221,30205 Taper Roller Bearing (BRG-30205),200,372,74400
2026-08-18,Shree Transmission Supplies,P-1222,6305 2RS Ball Bearing (BRG-6305),200,300,60000
2026-04-23,Bharat Bearing Agencies,P-1223,6205 2RS Ball Bearing (BRG-6205),25,168,4200
2026-09-12,Bharat Bearing Agencies,P-1224,6305 2RS Ball Bearing (BRG-6305),25,300,7500
2026-07-10,Shree Transmission Supplies,P-1225,6308 ZZ Ball Bearing (BRG-6308),100,560,56000
2026-08-29,Bharat Bearing Agencies,P-1226,32210 Taper Roller Bearing (BRG-32210),100,700,70000
2026-09-07,Shree Transmission Supplies,P-1227,UCP 205 Pillow Block (HSG-UCP205),200,480,96000
2026-07-28,Deccan Seals & Spares,P-1228,Circlip 52mm 10pc (CON-CLP52),150,82,12300
2026-05-22,Deccan Seals & Spares,P-1229,Ball Screw 1605 500mm (TRN-BS1605),25,3100,77500
2026-06-16,Shree Transmission Supplies,P-1230,V-Belt B-56 (BLT-B56),50,290,14500
2026-04-21,Deccan Seals & Spares,P-1231,32210 Taper Roller Bearing (BRG-32210),150,700,105000
2026-08-30,Bharat Bearing Agencies,P-1232,Sprocket 08B-1 Z18 (SPR-08B18),150,450,67500
2026-08-23,Deccan Seals & Spares,P-1233,Linear Bearing LM25UU (BRG-LM25UU),25,560,14000
2025-12-18,Shree Transmission Supplies,P-1234,30205 Taper Roller Bearing (BRG-30205),100,372,37200
2026-06-20,Shree Transmission Supplies,P-1235,Oil Seal 35x52x7 (SEL-3552),100,58,5800
2025-11-07,Shree Transmission Supplies,P-1236,6205 2RS Ball Bearing (BRG-6205),150,168,25200
2026-04-03,Bharat Bearing Agencies,P-1237,Flexible Coupling L-095 (CPL-L095),100,980,98000
2026-08-06,Deccan Seals & Spares,P-1238,UCF 206 Flange Unit (HSG-UCF206),200,590,118000
2026-01-05,Bharat Bearing Agencies,P-1239,6206 ZZ Ball Bearing (BRG-6206),200,222,44400
2026-08-13,Bharat Bearing Agencies,P-1240,6205 2RS Ball Bearing (BRG-6205),25,168,4200
2026-07-01,Bharat Bearing Agencies,P-1241,6205 2RS Ball Bearing (BRG-6205),150,168,25200
2025-11-16,Bharat Bearing Agencies,P-1242,30205 Taper Roller Bearing (BRG-30205),100,372,37200
2025-11-10,Shree Transmission Supplies,P-1243,Sprocket 08B-1 Z18 (SPR-08B18),200,450,90000
2026-05-31,Bharat Bearing Agencies,P-1244,6305 2RS Ball Bearing (BRG-6305),50,300,15000
2026-05-08,Bharat Bearing Agencies,P-1245,Sprocket 08B-1 Z18 (SPR-08B18),150,450,67500
2026-02-01,Shree Transmission Supplies,P-1246,Flexible Coupling L-095 (CPL-L095),100,980,98000
2026-07-02,Bharat Bearing Agencies,P-1247,32210 Taper Roller Bearing (BRG-32210),50,700,35000
